Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
280,Jamal Lewis,nir NIR,DF,Newcastle Utd,23,1998,5,4,262,2.9,0,0,0,0,0,0,1,0,0,0,0,0,3,7,7,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
281,Victor Lindelöf,se SWE,DF,Manchester Utd,27,1994,28,26,"2,355",26.2,0,2,2,0,0,0,4,0,0.2,0.2,0.6,0.8,14,72,3,0,0.08,0.08,0,0.08,0.01,0.02,0.03,0.01,0.03,Matches
282,Jesse Lingard,eng ENG,"FW,MF",Manchester Utd,28,1992,16,2,367,4.1,2,0,2,2,0,0,1,0,0.6,0.6,0.3,1,9,13,22,0.49,0,0.49,0.49,0.49,0.16,0.08,0.24,0.16,0.24,Matches
283,Valentino Livramento,eng ENG,DF,Southampton,18,2002,28,25,"2,202",24.5,1,1,2,1,0,0,2,0,1.4,1.4,2.7,4.1,79,80,118,0.04,0.04,0.08,0.04,0.08,0.06,0.11,0.17,0.06,0.17,Matches
284,Diego Llorente,es ESP,DF,Leeds United,27,1993,28,28,"2,340",26,3,0,3,3,0,0,7,0,1,1,0.1,1,20,97,1,0.12,0,0.12,0.12,0.12,0.04,0,0.04,0.04,0.04,Matches
285,Hugo Lloris,fr FRA,GK,Tottenham,34,1986,38,38,"3,420",38,0,0,0,0,0,0,2,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
286,Giovani Lo Celso,ar ARG,"MF,FW",Tottenham,25,1996,9,2,238,2.6,0,0,0,0,0,0,0,0,0.6,0.6,0.7,1.3,10,8,15,0,0,0,0,0,0.23,0.26,0.49,0.23,0.49,Matches
287,Jürgen Locadia,nl NED,"MF,FW",Brighton,27,1993,1,0,23,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0.61,0,0.61,0.61,0.61,Matches
288,Ruben Loftus-Cheek,eng ENG,"MF,DF",Chelsea,25,1996,24,13,"1,394",15.5,0,2,2,0,0,0,1,0,1.2,1.2,2.4,3.6,69,108,53,0,0.13,0.13,0,0.13,0.08,0.16,0.24,0.08,0.24,Matches
289,Kevin Long,ie IRL,DF,Burnley,30,1990,6,4,410,4.6,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,1,4,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
290,Shane Long,ie IRL,FW,Southampton,34,1987,13,3,308,3.4,1,0,1,1,0,0,1,0,0.9,0.9,0.1,1,5,3,24,0.29,0,0.29,0.29,0.29,0.25,0.04,0.3,0.25,0.3,Matches
291,Sean Longstaff,eng ENG,MF,Newcastle Utd,23,1997,24,15,"1,464",16.3,1,1,2,1,0,0,1,0,0.7,0.7,0.8,1.6,2,43,15,0.06,0.06,0.12,0.06,0.12,0.05,0.05,0.1,0.05,0.1,Matches
292,Ademola Lookman,ng NGA,"FW,MF",Leicester City,23,1997,26,16,"1,453",16.1,6,0,6,6,0,0,2,0,4.5,4.5,1.9,6.4,43,54,139,0.37,0,0.37,0.37,0.37,0.28,0.11,0.4,0.28,0.4,Matches
293,Jonas Lössl,dk DEN,GK,Brentford,32,1989,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
